Year,CO2_CAN,CO2_MEX,CO2_USA,CO2_CHINA,CO2_IND,CO2_UK,CO2_RUS,CO2_JPN,CO2_QAT,CO2_AUS,CO2_SA
1960,10.77084729,1.670990141,15.99977916,1.170381372,0.267634185,11.15075916,12.08234859,2.516537519,3.714671619,8.582936643,5.727221366
1961,10.62789765,1.675961329,15.68125552,0.836046901,0.283703709,11.15413892,12.32251256,2.981979388,3.137784174,8.641569017,5.832620932
1962,11.13062748,1.587485025,16.0139375,0.661428164,0.305850958,11.14292839,12.79009493,3.059736351,3.389214745,8.835688047,5.887170209
1963,11.1321024,1.600528397,16.48276215,0.640001899,0.321794972,11.25485346,13.56506012,3.359320776,99.46461209,9.226439909,5.961335842
1964,12.3053704,1.736658362,16.96811858,0.625646054,0.308168699,11.26583889,14.26705672,3.673035072,92.86086197,9.759073431,6.332341923
1965,12.81400147,1.705355151,17.45172525,0.665524211,0.332527211,11.45615951,14.96747625,3.912905535,85.45858515,10.62232139,6.616544288
1966,12.93491815,1.777925255,18.12107301,0.710891382,0.337039502,11.31896078,15.71682391,4.206264706,78.62515342,10.32809244,6.453860998
1967,13.8103546,1.918848664,18.59831788,0.574162147,0.330973865,10.78410455,16.34094217,4.863557846,77.50235221,10.9556248,6.560823701
1968,14.6326452,1.940637003,19.08938916,0.605451997,0.352457491,10.99348823,16.70466286,5.566593157,75.96718198,11.21016771,6.593620281
1969,14.61864861,2.047987318,19.85794566,0.725149509,0.351187328,11.34267041,17.29808493,6.338523165,71.09871832,11.60055435,6.665435015
1970,16.01414875,2.215287211,21.11125227,0.942934535,0.351488941,11.7323973,18.09102825,7.368088744,69.11160217,11.80289054,6.785929635
1971,16.05533218,2.380327514,20.98020348,1.042239697,0.362529744,11.82303629,19.09149437,7.545561028,76.64789723,11.80911757,7.43729572
1972,17.15406592,2.422006072,21.74864198,1.080676637,0.37489918,11.56235418,19.97555779,7.961462468,82.64097318,11.95163155,7.376051843
1973,16.96713528,2.561821014,22.51058213,1.098195691,0.37719344,11.74552694,20.70379427,8.472958752,87.68655142,12.77968685,7.256836138
1974,17.09800561,2.674078029,21.50293038,1.097367111,0.381064002,10.98359286,21.373373,8.313879441,68.26944233,12.55966873,7.198226008
1975,17.16020892,2.759233889,20.40222407,1.250124095,0.404751114,10.73605364,22.34211288,7.77267069,66.68084226,12.65989981,7.350683089
1976,17.02862407,3.006724694,21.15761537,1.285283136,0.413696986,10.65454202,23.04142696,8.059719431,59.77943945,12.41679178,7.474399432
1977,17.20283524,3.067406196,21.53248401,1.388842897,0.427724728,10.76186851,23.6601522,8.213496439,54.44645619,13.23189614,7.550740754
1978,17.35562946,3.45220081,21.97300469,1.52920111,0.424114081,10.76729499,24.30253015,7.866857247,54.86621065,14.06985862,7.446834137
1979,18.26610116,3.642771221,21.78043698,1.542675099,0.434690103,11.46539104,24.33309161,8.24734789,69.99026178,14.12909198,7.866689965
1980,18.07962055,3.961751778,20.78648774,1.495250749,0.449266662,10.28675704,25.11342352,8.114017015,58.57177864,15.02491601,7.999998179
1981,17.32493528,4.099403604,19.76676417,1.460431817,0.473644453,9.955296648,24.47504549,7.901592054,51.85802942,15.43250084,8.773991453
1982,16.51518883,4.289944895,18.59049523,1.566739684,0.477490558,9.740461658,24.78161636,7.599902312,44.56336347,15.42493181,9.311609134
1983,16.11132555,3.829532781,18.57154371,1.629055908,0.50527683,9.687798405,24.98694442,7.411085746,36.4321772,14.64008413,9.4286909
1984,16.62025251,3.73389481,18.97675027,1.75044806,0.506132025,9.381702909,25.02160733,7.833248279,36.13575389,15.2209753,9.922516125
1985,16.33299046,3.796893825,18.88231274,1.871054791,0.543976976,9.900139784,26.77632908,7.580675398,33.44781741,15.3084102,9.921215094
1986,15.51911259,3.795908929,18.72072272,1.939434257,0.570556174,10.03463939,26.65748597,7.53411367,33.43023583,14.98057315,9.877464152
1987,16.31019464,3.880765463,19.35033442,2.038410689,0.595939656,10.06774667,26.36760185,7.418518417,27.24094867,15.7469578,9.593208378
1988,17.02217437,3.800867772,20.01041341,2.150905225,0.629950482,10.02074396,26.89926543,8.066694192,26.89047914,15.79616778,9.77339886
1989,16.98419297,4.393378554,20.07576978,2.153077911,0.676937711,10.19193063,26.14805014,8.329948098,31.03157747,16.51986292,9.493669143
1990,15.71554138,3.793373018,19.32275118,2.152000537,0.709000751,9.710881678,24.39834858,8.842659551,24.72240372,15.45288167,8.513599989
1991,15.22180457,3.881986429,19.05616319,2.228662125,0.738482682,9.870809033,23.44969867,8.864025056,36.3274177,15.12796621,8.653758151
1992,15.54314788,3.84378479,19.13943728,2.306095614,0.768813909,9.660929998,13.99416667,9.039672009,54.63544646,15.31776851,7.801071104
1993,15.5337111,3.830377124,19.34708291,2.442800659,0.780347321,9.454695828,13.05713217,8.894836513,61.93577398,15.7014518,8.100407279
1994,15.75307185,3.912978646,19.36089205,2.565993892,0.80872395,9.448399895,11.44398813,9.392973504,60.6922596,15.57658628,8.361297473
1995,15.95907715,3.630863982,19.27654526,2.755754966,0.841937014,9.274846236,10.99555394,9.435087309,61.91395133,15.59651881,8.742672525
1996,16.1910295,3.719042582,19.49602474,2.844309582,0.898163092,9.480231059,10.88664427,9.582394674,61.81247811,16.50180039,8.626706188
1997,16.56173401,3.908311625,19.69036318,2.820567891,0.916859884,9.042720853,10.31678548,9.53044157,70.042227,16.51427321,8.982420083
1998,16.79757271,4.050613546,19.5792362,2.67674598,0.918329424,9.094403914,10.12729286,9.168631432,58.74518549,16.93569585,8.647141174
1999,16.95288535,4.016948975,19.72716951,2.648649247,0.959258891,9.047636069,10.40065558,9.457269768,55.05426923,17.19029769,8.462992931
2000,17.41463895,4.028144635,20.17875051,2.696862433,0.976601686,9.199549233,10.62709792,9.612522307,58.61946468,17.20060983,8.420829921
2001,17.01842806,4.117498953,19.63650507,2.742120813,0.968514319,9.233174987,10.66957424,9.448215888,67.31049638,16.73336743,8.163976697
2002,16.56039221,4.075235494,19.61340408,3.007083197,0.964275366,8.904123108,10.71586776,9.564757134,63.82809721,17.37045177,7.727642398
2003,17.47884132,4.270511506,19.56410453,3.524074093,0.989271008,9.053277839,11.0906198,9.716352722,60.90080934,16.90195895,8.657235861
2004,17.32455499,4.2224472,19.65837118,4.037990651,1.021862866,8.989140127,11.12060675,9.880903296,57.00557389,17.02651535,9.519375403
2005,17.41190097,4.399422979,19.59188523,4.523178064,1.06531244,8.982938536,11.25350585,9.712112911,58.88108378,17.16971145,8.707407369
2006,17.56133592,4.455657766,19.09406652,4.980314197,1.118603899,8.89871022,11.66911318,9.657546162,62.06618488,17.65139831,9.236950117
2007,17.38715721,4.401555404,19.21789784,5.082123622,1.189651807,8.617163681,11.67245445,9.777692627,51.93367224,17.86526004,9.498785998
2008,16.89745662,4.451117906,18.46176387,5.701915025,1.306253903,8.440027735,12.01450516,9.462190352,45.13478159,18.16087566,9.979458339
2009,15.82542959,4.232033444,17.15773779,5.677170257,1.427780473,7.569322681,11.02385569,8.632099729,41.82722076,18.20018196,9.967159109
2010,15.5055134,4.069560416,17.4431109,6.560520007,1.393273291,7.84936515,11.69434657,9.156018256,39.05970823,17.74084505,9.17305524
2011,15.22379395,4.187104495,16.91520177,7.241515419,1.468910262,7.073165082,12.33487755,9.312693499,39.50920515,17.53887776,9.179456987
2012,14.91382201,4.232175308,16.19342933,7.424750916,1.590942831,7.351014938,12.62026928,9.634347264,42.86037538,17.07290468,8.794996821
2013,14.7988829,4.126499656,16.36222413,7.557211045,1.585648401,7.109814294,12.12085015,9.76591055,36.38791752,16.09805289,8.553336036
2014,15.25547233,4.000652984,16.41657591,7.543907641,1.723311783,6.497340931,12.07751769,9.480766374,43.52329337,15.39110908,8.882321727
2015,15.38895031,3.963191128,15.98986626,7.398524566,1.784333765,6.220239615,11.78522038,9.153641422,41.64216221,15.33978358,8.376655342
2016,15.09005647,3.943827403,15.50220398,7.175809897,1.817783386,5.776795985,11.99943207,8.944372824,38.90147093,15.53922046,8.480658464
