,Year,Country Name,Count
126,1960.0,Mexico,37771859.0
342,1961.0,Mexico,38966056.0
558,1962.0,Mexico,40195319.0
774,1963.0,Mexico,41462369.0
990,1964.0,Mexico,42771079.0
1206,1965.0,Mexico,44123853.0
1422,1966.0,Mexico,45519737.0
1638,1967.0,Mexico,46956208.0
1854,1968.0,Mexico,48431972.0
2070,1969.0,Mexico,49945279.0
2286,1970.0,Mexico,51493565.0
2502,1971.0,Mexico,53076373.0
2718,1972.0,Mexico,54689943.0
2934,1973.0,Mexico,56324303.0
3150,1974.0,Mexico,57966804.0
3366,1975.0,Mexico,59607953.0
3582,1976.0,Mexico,61242190.0
3798,1977.0,Mexico,62869903.0
4014,1978.0,Mexico,64494869.0
4230,1979.0,Mexico,66123897.0
4446,1980.0,Mexico,67761372.0
4662,1981.0,Mexico,69407624.0
4878,1982.0,Mexico,71058654.0
5094,1983.0,Mexico,72709299.0
5310,1984.0,Mexico,74352631.0
5526,1985.0,Mexico,75983485.0
5742,1986.0,Mexico,77599098.0
5958,1987.0,Mexico,79200081.0
6174,1988.0,Mexico,80788721.0
6390,1989.0,Mexico,82368931.0
6606,1990.0,Mexico,83943132.0
6824,1991.0,Mexico,85512623.0
7041,1992.0,Mexico,87075138.0
7258,1993.0,Mexico,88625440.0
7475,1994.0,Mexico,90156400.0
7693,1995.0,Mexico,91663285.0
7911,1996.0,Mexico,93147044.0
8129,1997.0,Mexico,94611002.0
8347,1998.0,Mexico,96056321.0
8566,1999.0,Mexico,97484832.0
8785,2000.0,Mexico,98899845.0
9004,2001.0,Mexico,100298153.0
9223,2002.0,Mexico,101684758.0
9442,2003.0,Mexico,103081020.0
9661,2004.0,Mexico,104514932.0
9880,2005.0,Mexico,106005203.0
10099,2006.0,Mexico,107560153.0
10318,2007.0,Mexico,109170502.0
10537,2008.0,Mexico,110815271.0
10756,2009.0,Mexico,112463887.0
10975,2010.0,Mexico,114092963.0
11194,2011.0,Mexico,115695473.0
11412,2012.0,Mexico,117274155.0
11630,2013.0,Mexico,118827161.0
11848,2014.0,Mexico,120355128.0
12066,2015.0,Mexico,121858258.0
12284,2016.0,Mexico,123333376.0
12502,2017.0,Mexico,124777324.0
202,1960.0,United States,180671000.0
418,1961.0,United States,183691000.0
634,1962.0,United States,186538000.0
850,1963.0,United States,189242000.0
1066,1964.0,United States,191889000.0
1282,1965.0,United States,194303000.0
1498,1966.0,United States,196560000.0
1714,1967.0,United States,198712000.0
