Year,CO2_CAN,CO2_MEX,CO2_USA
1960,10.77084729,1.670990141,15.99977916
1961,10.62789765,1.675961329,15.68125552
1962,11.13062748,1.587485025,16.0139375
1963,11.1321024,1.600528397,16.48276215
1964,12.3053704,1.736658362,16.96811858
1965,12.81400147,1.705355151,17.45172525
1966,12.93491815,1.777925255,18.12107301
1967,13.8103546,1.918848664,18.59831788
1968,14.6326452,1.940637003,19.08938916
1969,14.61864861,2.047987318,19.85794566
1970,16.01414875,2.215287211,21.11125227
1971,16.05533218,2.380327514,20.98020348
1972,17.15406592,2.422006072,21.74864198
1973,16.96713528,2.561821014,22.51058213
1974,17.09800561,2.674078029,21.50293038
1975,17.16020892,2.759233889,20.40222407
1976,17.02862407,3.006724694,21.15761537
1977,17.20283524,3.067406196,21.53248401
1978,17.35562946,3.45220081,21.97300469
1979,18.26610116,3.642771221,21.78043698
1980,18.07962055,3.961751778,20.78648774
1981,17.32493528,4.099403604,19.76676417
1982,16.51518883,4.289944895,18.59049523
1983,16.11132555,3.829532781,18.57154371
1984,16.62025251,3.73389481,18.97675027
1985,16.33299046,3.796893825,18.88231274
1986,15.51911259,3.795908929,18.72072272
1987,16.31019464,3.880765463,19.35033442
1988,17.02217437,3.800867772,20.01041341
1989,16.98419297,4.393378554,20.07576978
1990,15.71554138,3.793373018,19.32275118
1991,15.22180457,3.881986429,19.05616319
1992,15.54314788,3.84378479,19.13943728
1993,15.5337111,3.830377124,19.34708291
1994,15.75307185,3.912978646,19.36089205
1995,15.95907715,3.630863982,19.27654526
1996,16.1910295,3.719042582,19.49602474
1997,16.56173401,3.908311625,19.69036318
1998,16.79757271,4.050613546,19.5792362
1999,16.95288535,4.016948975,19.72716951
2000,17.41463895,4.028144635,20.17875051
2001,17.01842806,4.117498953,19.63650507
2002,16.56039221,4.075235494,19.61340408
2003,17.47884132,4.270511506,19.56410453
2004,17.32455499,4.2224472,19.65837118
2005,17.41190097,4.399422979,19.59188523
2006,17.56133592,4.455657766,19.09406652
2007,17.38715721,4.401555404,19.21789784
2008,16.89745662,4.451117906,18.46176387
2009,15.82542959,4.232033444,17.15773779
2010,15.5055134,4.069560416,17.4431109
2011,15.22379395,4.187104495,16.91520177
2012,14.91382201,4.232175308,16.19342933
2013,14.7988829,4.126499656,16.36222413
2014,15.25547233,4.000652984,16.41657591
2015,15.38895031,3.963191128,15.98986626
2016,15.09005647,3.943827403,15.50220398
