Year,CO2_China,CO2_USA,CO2_Rusia,CO2_Brazil,CO2_France,CO2_India,CO2_Mexico,CO2_Spain,CO2_Vienam,CO2_Canada
1960,1.170381372,15.99977916,12.08234859,0.649885938,5.817437681,0.267634185,1.670990141,1.606592711,0.181946737,10.77084729
1961,0.836046901,15.68125552,12.32251256,0.662130491,5.952751834,0.283703709,1.675961329,1.74622172,0.183098879,10.62789765
1962,0.661428164,16.0139375,12.79009493,0.701775503,6.235408683,0.305850958,1.587485025,1.935781533,0.217693521,11.13062748
1963,0.640001899,16.48276215,13.56506012,0.706049423,6.87529322,0.321794972,1.600528397,1.879509312,0.196997012,11.1321024
1964,0.625646054,16.96811858,14.26705672,0.699884343,7.013993128,0.308168699,1.736658362,2.037725257,0.209870452,12.3053704
1965,0.665524211,17.45172525,14.96747625,0.676455225,7.062750798,0.332527211,1.705355151,2.225610193,0.217933931,12.81400147
1966,0.710891382,18.12107301,15.71682391,0.750374966,6.899140799,0.337039502,1.777925255,2.407735709,0.225433908,12.93491815
1967,0.574162147,18.59831788,16.34094217,0.751887374,7.326518931,0.330973865,1.918848664,2.647227559,0.195461337,13.8103546
1968,0.605451997,19.08938916,16.70466286,0.856553524,7.51593184,0.352457491,1.940637003,2.93409754,0.203763759,14.6326452
1969,0.725149509,19.85794566,17.29808493,0.909093361,8.014840647,0.351187328,2.047987318,2.897101868,0.201174218,14.61864861
1970,0.942934535,21.11125227,18.09102825,0.985788081,8.449429419,0.351488941,2.215287211,3.457969859,0.649680094,16.01414875
1971,1.042239697,20.98020348,19.09149437,1.052857906,8.829912531,0.362529744,2.380327514,3.75994979,0.551401486,16.05533218
1972,1.080676637,21.74864198,19.97555779,1.145237689,9.105899937,0.37489918,2.422006072,4.190966866,0.506231964,17.15406592
1973,1.098195691,22.51058213,20.70379427,1.29536175,9.709107815,0.37719344,2.561821014,4.440462955,0.53852038,16.96713528
1974,1.097367111,21.50293038,21.373373,1.370088015,9.312382375,0.381064002,2.674078029,4.89498864,0.400420575,17.09800561
1975,1.250124095,20.40222407,22.34211288,1.409905723,8.28681204,0.404751114,2.759233889,5.079852145,0.447477943,17.16020892
1976,1.285283136,21.15761537,23.04142696,1.413180722,9.325010842,0.413696986,3.006724694,5.491294603,0.279672997,17.02862407
1977,1.388842897,21.53248401,23.6601522,1.449507777,8.828303001,0.427724728,3.067406196,5.358942976,0.300361246,17.20283524
1978,1.52920111,21.97300469,24.30253015,1.536862787,9.249256951,0.424114081,3.45220081,5.438594324,0.296767269,17.35562946
1979,1.542675099,21.78043698,24.33309161,1.597599174,9.635528106,0.434690103,3.642771221,5.478315887,0.306645727,18.26610116
1980,1.495250749,20.78648774,25.11342352,1.550121183,9.161529158,0.449266662,3.961751778,5.734778954,0.309873931,18.07962055
1981,1.460431817,19.76676417,24.47504549,1.390352265,8.203107304,0.473644453,4.099403604,5.48982234,0.319261223,17.32493528
1982,1.566739684,18.59049523,24.78161636,1.361098386,7.841028004,0.477490558,4.289944895,5.525887108,0.323557081,16.51518883
1983,1.629055908,18.57154371,24.98694442,1.28724347,7.543287697,0.50527683,3.829532781,5.367036187,0.332214839,16.11132555
1984,1.75044806,18.97675027,25.02160733,1.275133165,7.194881769,0.506132025,3.73389481,5.190482538,0.294899843,16.62025251
1985,1.871054791,18.88231274,26.77632908,1.33986355,7.075849582,0.543976976,3.796893825,5.230998485,0.347570832,16.33299046
1986,1.939434257,18.72072272,26.65748597,1.440047634,6.767999746,0.570556174,3.795908929,4.93636136,0.3706802,15.51911259
