,Entity,Code,Year,Meat Production (tonnes)
2453,China,CHN,2017,88419530
2454,China,CHN,2018,88156383
2450,China,CHN,2014,88010996
2451,China,CHN,2015,87650879
2452,China,CHN,2016,86779163
2449,China,CHN,2013,86760038
2448,China,CHN,2012,85007897
2447,China,CHN,2011,81157287
2446,China,CHN,2010,80898619
2445,China,CHN,2009,78309782
2444,China,CHN,2008,74750662
2442,China,CHN,2006,72862624
2441,China,CHN,2005,71187383
2443,China,CHN,2007,70697140
2440,China,CHN,2004,67907083
2439,China,CHN,2003,66250144
2438,China,CHN,2002,64221597
2437,China,CHN,2001,62976855
2436,China,CHN,2000,62057917
2435,China,CHN,1999,61244882
2434,China,CHN,1998,58676180
2433,China,CHN,1997,54264343
2431,China,CHN,1995,52037879
2432,China,CHN,1996,47716258
12748,United States,USA,2018,46832946
12747,United States,USA,2017,45798519
2430,China,CHN,1994,45152829
12746,United States,USA,2016,44641030
12745,United States,USA,2015,43281160
12738,United States,USA,2008,42883179
12744,United States,USA,2014,42832390
12743,United States,USA,2013,42754378
12742,United States,USA,2012,42622314
12741,United States,USA,2011,42450693
12740,United States,USA,2010,41952752
12739,United States,USA,2009,41856174
12737,United States,USA,2007,41624756
2429,China,CHN,1993,40400831
12736,United States,USA,2006,40131501
12734,United States,USA,2004,39805478
12735,United States,USA,2005,39744000
12733,United States,USA,2003,39464439
12732,United States,USA,2002,38715587
12731,United States,USA,2001,38252104
12730,United States,USA,2000,37565211
12729,United States,USA,1999,37016022
2428,China,CHN,1992,36340861
12728,United States,USA,1998,35874199
12727,United States,USA,1997,34914247
12726,United States,USA,1996,34270504
12725,United States,USA,1995,33486448
2427,China,CHN,1991,33334225
12724,United States,USA,1994,32229067
12723,United States,USA,1993,31172442
12722,United States,USA,1992,30665133
2426,China,CHN,1990,29943253
12721,United States,USA,1991,29350007
1584,Brazil,BRA,2018,29341250
12720,United States,USA,1990,28634662
12719,United States,USA,1989,28289328
2425,China,CHN,1989,27913290
12718,United States,USA,1988,27808250
1583,Brazil,BRA,2017,27694100
1582,Brazil,BRA,2016,26922412
12717,United States,USA,1987,26844305
1581,Brazil,BRA,2015,26642293
2424,China,CHN,1988,26497413
12716,United States,USA,1986,26283505
1580,Brazil,BRA,2014,26038960
12715,United States,USA,1985,25834359
1579,Brazil,BRA,2013,25424670
12714,United States,USA,1984,25417452
12713,United States,USA,1983,25151146
12711,United States,USA,1981,24883150
1578,Brazil,BRA,2012,24648628
12710,United States,USA,1980,24455198
1577,Brazil,BRA,2011,24312115
12712,United States,USA,1982,24222123
2423,China,CHN,1987,24063445
12707,United States,USA,1977,23723466
12709,United States,USA,1979,23637355
1576,Brazil,BRA,2010,23630101
12706,United States,USA,1976,23588288
12708,United States,USA,1978,23497032
1574,Brazil,BRA,2008,22858805
1575,Brazil,BRA,2009,22610720
12704,United States,USA,1974,22330673
2422,China,CHN,1986,22101032
12701,United States,USA,1971,22071024
12702,United States,USA,1972,21961512
1573,Brazil,BRA,2007,21814555
12705,United States,USA,1975,21701342
12700,United States,USA,1970,21330296
2421,China,CHN,1985,20938095
12703,United States,USA,1973,20934899
12699,United States,USA,1969,20590034
1572,Brazil,BRA,2006,20441383
12698,United States,USA,1968,20347979
12487,USSR,OWID_USS,1989,20085600
12488,USSR,OWID_USS,1990,20006200
12697,United States,USA,1967,19983792
1570,Brazil,BRA,2004,19908035
