Year,China,USA,Brazil,Rusia,Francia,India,Mexico,Vietnam,Spain,Canada
1961,2549889,16513033,2119990,8700000,3692700,1696091,1003181,374975,659863,1478414
1962,3047570,16589528,2172514,9457200,3839900,1738374,1084881,388045,679673,1488155
1963,4689616,17452752,2195749,10195000,3790700,1756240,1112874,405080,830007,1545859
1964,5980768,18545967,2288777,8287000,3781800,1789642,1142929,405074,932133,1688163
1965,6832207,18241816,2420783,9956000,3937000,1818311,1169596,425588,861616,1766198
1966,7403135,19077205,2463109,10704000,3852300,1847250,1188118,437325,1047382,1802087
1967,7796344,19983792,2545090,11515000,4063050,1895618,1219788,451175,1164577,1897711
1968,7756613,20347979,2809556,11648000,4149900,1943327,1238558,445390,1187676,1931294
1969,7636243,20590034,2982732,11770000,4103667,1970330,1269980,435697,1255021,1893437
1970,7655282,21330296,3095640,12278000,4235675,2015308,1291746,431104,1489427,2071878
1971,8711569,22071024,3085695,13266000,4427659,2070337,1316664,438246,1465418,2160088
1972,9614791,21961512,3410303,13633000,4377051,2096927,1412682,458642,1511772,2147777
1973,9763177,20934899,3550501,13527000,4447240,2144761,1484287,461668,1759498,2160113
1974,9748146,22330673,3416986,14619000,4829605,2201960,1600818,447848,1953232,2205364
1975,9979084,21701342,3589592,15060000,4832711,2251562,1786742,411660,1900166,2173379
1976,10048100,23588288,3899760,13395000,4973602,2306980,2016672,417748,2020044,2280741
1977,10229245,23723466,4094392,14722000,4878980,2359365,2209414,426629,2158281,2271982
1978,11094227,23497032,4393098,15501000,5012185,2423400,2298545,445600,2223309,2308202
1979,13348363,23637355,4768181,15494500,5351415,2522633,2333163,469258,2347538,2398638
1980,14787119,24455198,5316689,15072300,5448100,2626812,2540141,495205,2643842,2556403
1981,15442530,24883150,5585967,15199300,5467753,2710296,2732638,623212,2810960,2585861
1982,16439390,24222123,5626493,15372400,5374900,2950680,2847589,696033,2902310,2590517
1983,17084134,25151146,5831344,16450000,5419900,2983758,3068384,792748,2879172,2620003
1984,18583606,25417452,5676550,16969200,5567600,3032903,3040304,830583,2923851,2627137
1985,20938095,25834359,5898738,17131200,5477643,3155520,2952084,860963,2915580,2758909
1986,22101032,26283505,6197736,18034600,5411840,3217240,3059535,907495,2908227,2780283
1987,24063445,26844305,6648814,18884000,5611280,3424790,3033444,995058,3060669,2794663
1988,26497413,27808250,7266223,19733000,5627904,3477418,2941035,991995,3334764,2858264
1989,27913290,28289328,7510809,20085600,5560950,3558599,2676816,1053960,3307046,2858373
1990,29943253,28634662,7709088,20006200,5743664,3657118,2800839,1078935,3466616,2795873
1991,33334225,29350007,8545027,18500700,6410103,3864182,3040828,1063134,3603188,2742057
1992,36340861,30665133,9071529,8211761,6388343,3920828,3148089,1159524,3651233,2880873
1993,40400831,31172442,9685447,7482270,6563328,4013201,3300125,1232279,3765433,2860731
1994,45152829,32229067,10489053,6771928,6767501,4055412,3543259,1323395,3839783,3018011
1995,52037879,33486448,11816818,5784459,6976300,4098289,3798904,1365188,3975320,3102489
1996,47716258,34270504,12351145,5324850,7332371,4141610,3684460,1461319,4182230,3174413
1997,54264343,34914247,12656380,4846030,7509881,4172992,3905670,1625037,4281949,3305876
1998,58676180,35874199,13276820,4693208,7537151,4258363,4137540,1716925,4839062,3581160
1999,61244882,37016022,14579400,4320872,7165851,4342568,4319526,1842799,4909168,3875170
2000,62057917,37565211,15424850,4453444,6323737,4448715,4464053,1992412,4913020,4000324
2001,62976855,38252104,15964800,4474201,6388404,4520651,4636828,2117885,5055243,4153401
2002,64221597,38715587,17298391,4738729,6368200,4699504,4829238,2298317,5344365,4301177
2003,66250144,39464439,18377007,4999521,6242554,4836330,4912914,2479455,5479679,4232930
2004,67907083,39805478,19908035,5039206,6078314,4971239,5109399,2923343,5224113,4597690
2005,71187383,39744000,19668815,4980500,6019490,5117266,5322138,2956329,5308965,4593790
2006,72862624,40131501,20441383,5318552,5518648,5281253,5401308,3294126,5303133,4438880
2007,70697140,41624756,21814555,5705166,5668857,5569614,5546779,3334939,5517371,4429580
2008,74750662,42883179,22858805,6268059,5835821,5707396,5632196,3671362,5501284,4536970
2009,78309782,41856174,22610720,6719455,5777096,5918880,5728274,4048296,5305567,4445520
2010,80898619,41952752,23630101,7166806,5810231,6088912,5828422,3986416,5443530,4440630
2011,81157287,42450693,24312115,7519463,5832340,6370962,6001019,4119078,5655987,4353612
2012,85007897,42622314,24648628,8090317,5676337,6558601,6079220,4203692,5647452,4310854
2013,86760038,42754378,25424670,8544195,5529044,6740213,6122134,4312402,5502721,4309031
2014,88010996,42832390,26038960,9070305,5597676,6920043,6223351,4497380,5716826,4354538
2015,87650879,43281160,26642293,9565187,5653860,7116682,6356703,4709383,6056662,4445178
2016,86779163,44641030,26922412,9853340,5663906,7183123,6558733,4938792,6546387,4615071
2017,88419530,45798519,27694100,10319001,5562744,7366235,6807583,5072358,6662298,4772748
2018,88156383,46832946,29341250,10629378,5621700,7454329,7051277,5227733,7028021,4893195
